iter	Logloss
0	0.6915101825
1	0.6899555134
2	0.6883627694
3	0.6866804159
4	0.6850278602
5	0.6831773722
6	0.6816479665
7	0.680276115
8	0.678826674
9	0.6773732743
10	0.6761018285
11	0.6746893109
12	0.6732255468
13	0.6715069177
14	0.6697504295
15	0.6681692735
16	0.6666731924
17	0.6651208266
18	0.6640124051
19	0.6626381784
20	0.6611175537
21	0.6600161858
22	0.6591151975
23	0.6578304363
24	0.6565916673
25	0.6553501633
26	0.6539508172
27	0.6526808829
28	0.6516892055
29	0.6499565412
30	0.6490227321
31	0.6476066158
32	0.6465572141
33	0.6455099718
34	0.6441163117
35	0.6430161674
36	0.6421284946
37	0.6407983168
38	0.6397635262
39	0.6388306528
40	0.6374906144
41	0.6365369401
42	0.6356458124
43	0.6345479713
44	0.6337575373
45	0.6323115511
46	0.6311644788
47	0.6304001718
48	0.6293532174
49	0.628118695
50	0.6272214494
51	0.6261141075
52	0.6252124714
53	0.6243552442
54	0.6231909698
55	0.6222114563
56	0.6212638279
57	0.6204740416
58	0.6194190259
59	0.6185439488
60	0.6175984796
61	0.6166426461
62	0.6154017179
63	0.6145194432
64	0.6138118528
65	0.6128646563
66	0.6120520538
67	0.6112291588
68	0.6104231061
69	0.6096891727
70	0.6090057661
71	0.6081916521
72	0.607427633
73	0.6067795664
74	0.6057654327
75	0.604762959
76	0.6042342996
77	0.6037313353
78	0.6029449319
79	0.6021694687
80	0.601594565
81	0.6009197235
82	0.6002551385
83	0.5995173544
84	0.5989744078
85	0.5982706682
86	0.5976164476
87	0.5968777639
88	0.5959580979
89	0.5954675135
90	0.5946496208
91	0.5938420926
92	0.5932350159
93	0.5925543443
94	0.5917582962
95	0.5908385943
96	0.5902672534
97	0.5896043598
98	0.5888047488
99	0.5880214763
100	0.587542264
101	0.5870425386
102	0.5864101266
103	0.5857018885
104	0.5849636006
105	0.5841428289
106	0.5835233364
107	0.5830423967
108	0.5826705357
109	0.5819704308
110	0.5811868704
111	0.5804193965
112	0.5798327968
113	0.5793616817
114	0.579138162
115	0.5782160489
116	0.5776193727
117	0.5771035608
118	0.576696144
119	0.5763044897
120	0.5756346505
121	0.5748737983
122	0.5743132897
123	0.573627292
124	0.5730515246
125	0.5724564678
126	0.5720187493
127	0.5713649246
128	0.5708271962
129	0.5703922488
130	0.5698759691
131	0.5696522695
132	0.5689276929
133	0.5685106673
134	0.5680744963
135	0.5677534139
136	0.5671740478
137	0.5668643016
138	0.5663674193
139	0.5658657146
140	0.5655382264
141	0.5649486038
142	0.5641727088
143	0.5633679516
144	0.5629430087
145	0.5625125237
146	0.5619477326
147	0.5614432209
148	0.5608195179
149	0.5603929556
150	0.5599665732
151	0.5595648064
152	0.5589087144
153	0.5583660198
154	0.5579961021
155	0.5577414171
156	0.557442935
157	0.5569309738
158	0.5563924538
159	0.5560273944
160	0.5557790792
161	0.5552923095
162	0.5547428491
163	0.5542625931
164	0.5538844702
165	0.5535986558
166	0.5531226104
167	0.5523254107
168	0.5518665674
169	0.5516071679
170	0.5513443137
171	0.5507973725
172	0.5501527966
173	0.5499300687
174	0.5496886631
175	0.5493451964
176	0.54904765
177	0.5486945746
178	0.5482361272
179	0.5479005058
180	0.5475629411
181	0.5472279315
182	0.5469617304
183	0.5465041107
184	0.5460532566
185	0.5455404318
186	0.5450743549
187	0.544526586
188	0.5440738966
189	0.5437613793
190	0.5434424922
191	0.5431964802
192	0.5430020026
193	0.5426537136
194	0.5423945301
195	0.5420473207
196	0.5415707714
197	0.5412271608
198	0.5404484947
199	0.5400189094
200	0.5397600858
201	0.5393976895
202	0.5389171816
203	0.5384805068
204	0.5381951962
205	0.5379096697
206	0.5376092083
207	0.5373687024
208	0.5369344747
209	0.5366869513
210	0.5361544051
211	0.5360600094
212	0.5357494714
213	0.5354652405
214	0.5353236288
215	0.5350006391
216	0.5346212207
217	0.5343936344
218	0.5340315261
219	0.5336505242
220	0.5331759183
221	0.5328661361
222	0.5325279236
223	0.532061127
224	0.531750805
225	0.5314156874
226	0.5307273505
227	0.530225214
228	0.5299661025
229	0.5296640216
230	0.5292027312
231	0.5286828527
232	0.5284031562
233	0.5281944635
234	0.5278950817
235	0.5275569052
236	0.5272767409
237	0.52700399
238	0.5265752684
239	0.5262697688
240	0.5260974236
241	0.5259314483
242	0.525674676
243	0.5252936021
244	0.5249177105
245	0.5246695752
246	0.5241447305
247	0.523862083
248	0.5236118964
249	0.5234290069
250	0.5231043978
251	0.5229578558
252	0.5223406306
253	0.5219170193
254	0.521507947
255	0.5214282702
256	0.5210926848
257	0.5209783518
258	0.5207440358
259	0.5205075966
260	0.5202089706
261	0.5198368576
262	0.5196076159
263	0.5194358826
264	0.5192517694
265	0.518971965
266	0.5187254852
267	0.5182423142
268	0.5179290771
269	0.5177073209
270	0.51729994
271	0.5171399386
272	0.5167805654
273	0.5165857999
274	0.5163790865
275	0.5162071372
276	0.5159270808
277	0.5155639648
278	0.5153118349
279	0.5150094662
280	0.5148697259
281	0.5144330151
282	0.5142157932
283	0.513923789
284	0.5134825437
285	0.5133201311
286	0.5131376015
287	0.5130208573
288	0.5128100053
289	0.5122697218
290	0.512102235
291	0.5116439316
292	0.5113865115
293	0.5110762254
294	0.5106369954
295	0.5104319015
296	0.5101341751
297	0.509581044
298	0.5092636684
299	0.5090696947
300	0.5087286391
301	0.5083961487
302	0.5081883916
303	0.5079464822
304	0.5075543961
305	0.5071197366
306	0.5065762502
307	0.50647149
308	0.5062979932
309	0.5061081221
310	0.5059064469
311	0.5056365031
312	0.5052411781
313	0.505101006
314	0.5047674359
315	0.504494865
316	0.5041907328
317	0.5040347261
318	0.5036012901
319	0.5033136044
320	0.5031163917
321	0.5026953355
322	0.5025441512
323	0.5022449134
324	0.5019889688
325	0.5016681023
326	0.5015409937
327	0.5009821046
328	0.5007719364
329	0.5005968202
330	0.5004090363
331	0.5002039783
332	0.5000490872
333	0.499645593
334	0.4994379439
335	0.4991823592
336	0.4988659553
337	0.4987620228
338	0.49848902
339	0.4981801735
340	0.4975467178
341	0.4972948758
342	0.4971615413
343	0.496887387
344	0.4967236789
345	0.496342569
346	0.4961217844
347	0.495786271
348	0.4954754092
349	0.4950565842
350	0.4948562766
351	0.4945938182
352	0.4942164511
353	0.4941400492
354	0.4937626461
355	0.4934134933
356	0.4931327532
357	0.4929339571
358	0.4927509596
359	0.4925900585
360	0.492453953
361	0.4922705596
362	0.4919663915
363	0.4917985448
364	0.4915629693
365	0.4913825629
366	0.491265171
367	0.4911641535
368	0.4909959469
369	0.4906859848
370	0.4903794774
371	0.4901968398
372	0.4898372506
373	0.4892955996
374	0.489089318
375	0.4889848097
376	0.488787813
377	0.4886427106
378	0.4884814136
379	0.4882359055
380	0.4878855291
381	0.4878054205
382	0.4874383459
383	0.4871847045
384	0.48702222
385	0.4868217324
386	0.4867065718
387	0.4865176363
388	0.4862140799
389	0.4859670603
390	0.4857969464
391	0.4856865721
392	0.4854969888
393	0.4852542157
394	0.4850975253
395	0.4847457454
396	0.484459859
397	0.4843108339
398	0.4842768615
399	0.4841275485
400	0.4839163366
401	0.4838007081
402	0.4835557038
403	0.4833521573
404	0.483247685
405	0.4829523338
406	0.4827406901
407	0.4824869408
408	0.4823358284
409	0.4822204158
410	0.4821246885
411	0.4819237331
412	0.4817940694
413	0.4815662312
414	0.4812876863
415	0.4811551076
416	0.4810370679
417	0.4808945566
418	0.4807690315
419	0.4806783784
420	0.4805405815
421	0.4803927799
422	0.4802658153
423	0.4800777435
424	0.4799265232
425	0.4795573612
426	0.4793269319
427	0.4791633318
428	0.4789074952
429	0.4787467741
430	0.4786372635
431	0.4783938066
432	0.4779522014
433	0.4777898249
434	0.4775239477
435	0.477473133
436	0.4773320612
437	0.4772181961
438	0.4771022797
439	0.4766809715
440	0.4764749419
441	0.4763706855
442	0.4760593198
443	0.4759098989
444	0.4757108508
445	0.47555506
446	0.4751678323
447	0.4747501589
448	0.474553774
449	0.4743742313
450	0.4741450616
451	0.473725157
452	0.4735571303
453	0.4731483819
